individual	chr3:47877523:47891024:cluster48677	chr3:47877523:47902950:cluster48677	chr3:47877523:47909038:cluster48677	chr3:47877523:47914817:cluster48677	chr3:47877523:47915951:cluster48677	chr3:47903000:47909038:cluster48677	chr3:47912421:47914817:cluster48677	chr3:47912421:47915951:cluster48677	chr3:47914939:47915951:cluster48677	chr3:47916541:47918719:cluster48677	chr3:47917165:47918719:cluster48677	chr3:47917174:47918719:cluster48677	chr3:47917174:47921765:cluster48677	chr3:47917174:47928228:cluster48677	chr3:47918841:47921765:cluster48677	chr3:47918841:47928228:cluster48677	chr3:47921878:47928228:cluster48677
GTEX-WFG8	0	48	706	35	0	54	295	0	264	2	0	220	65	1	300	10	363
GTEX-13FHO	0	27	385	29	0	33	222	0	172	2	0	128	20	3	157	4	215
GTEX-146FH	2	17	386	18	0	22	278	0	198	2	0	162	43	2	174	3	213
GTEX-RUSQ	0	6	284	14	0	12	150	0	149	2	0	109	11	0	101	1	110
GTEX-YFC4	0	39	627	31	0	40	309	0	229	0	0	197	27	0	205	1	250
GTEX-1JKYR	0	63	1028	28	0	74	643	0	547	1	0	420	50	0	490	4	560
GTEX-1477Z	0	24	476	16	1	33	187	0	133	1	0	104	21	1	134	0	140
GTEX-1GTWX	1	40	770	28	0	43	414	0	275	0	0	242	53	0	263	4	357
GTEX-17F97	0	44	801	34	0	48	351	0	275	0	0	256	28	2	278	4	295
GTEX-PSDG	1	27	1273	33	0	19	595	0	435	2	0	369	54	6	378	6	470
GTEX-13PVQ	0	22	530	19	0	30	261	0	148	0	0	139	24	0	187	3	210
GTEX-17HHY	0	31	618	36	1	31	390	0	324	0	0	266	36	2	324	3	341
GTEX-13O3P	2	13	407	29	0	11	202	0	191	0	0	119	13	0	145	0	177
GTEX-11GS4	1	38	439	20	0	43	252	0	173	1	0	125	16	0	154	4	156
GTEX-1QP67	0	30	792	22	0	39	330	0	281	0	0	191	28	0	191	5	256
GTEX-1QP28	0	19	569	23	0	19	267	0	207	1	0	189	18	0	165	0	231
GTEX-13OW7	1	68	740	37	2	74	428	0	283	2	0	219	44	0	255	3	355
