individual	chr12:109253158:109254214:cluster26911	chr12:109253158:109254288:cluster26911	chr12:109254334:109256057:cluster26911	chr12:109254334:109256140:cluster26911	chr12:109254334:109258268:cluster26911	chr12:109256236:109258268:cluster26911	chr12:109256236:109260480:cluster26911	chr12:109258364:109258577:cluster26911	chr12:109258364:109258580:cluster26911	chr12:109258364:109258960:cluster26911	chr12:109258364:109258973:cluster26911	chr12:109258364:109258982:cluster26911	chr12:109258364:109258985:cluster26911	chr12:109259108:109259756:cluster26911	chr12:109259108:109260065:cluster26911	chr12:109259108:109260480:cluster26911	chr12:109259985:109260480:cluster26911	chr12:109260149:109260480:cluster26911	chr12:109260657:109262357:cluster26911	chr12:109260657:109262377:cluster26911
GTEX-12WSA	550	0	2	694	21	741	0	0	2	9	881	0	0	2	68	624	4	52	720	11
GTEX-14XAO	250	3	0	275	2	245	0	0	0	2	295	0	0	0	15	231	0	9	266	0
GTEX-1GN2E	95	1	0	98	0	96	0	0	2	7	136	0	0	0	21	102	0	9	131	3
GTEX-ZZPU	946	2	2	1115	8	1059	0	0	0	11	1350	0	0	3	72	1021	1	72	1072	15
GTEX-14E6E	842	5	5	918	2	841	0	7	5	14	1042	0	0	16	147	817	9	115	850	4
GTEX-13D11	626	3	0	829	7	715	0	1	2	19	966	0	0	0	68	722	0	70	701	4
GTEX-ZP4G	1001	6	11	1220	11	1066	0	1	4	20	1275	2	0	8	187	954	1	185	1188	10
GTEX-15DZA	790	3	0	1041	6	878	0	2	1	6	1110	0	0	0	94	862	0	75	753	7
GTEX-ZGAY	1097	22	3	1369	9	1168	0	0	0	26	1512	2	0	0	97	1281	0	81	1210	9
GTEX-1B8SF	68	1	0	103	0	80	0	0	3	0	118	0	0	1	11	100	0	10	102	1
GTEX-17EVP	152	3	0	222	1	178	0	0	0	2	216	0	0	0	14	192	0	15	166	3
GTEX-147GR	88	0	0	89	0	98	0	0	0	3	132	0	0	0	9	110	1	9	108	2
GTEX-11P81	175	0	0	197	2	194	0	0	2	7	220	0	0	0	20	169	0	11	203	2
GTEX-13CF3	121	0	1	128	0	142	0	0	0	0	170	0	0	0	25	142	0	27	155	0
GTEX-1R9K5	141	0	0	160	1	139	0	0	1	2	160	0	0	0	10	146	0	8	127	3
GTEX-12WSF	74	0	0	83	1	76	0	1	0	2	84	0	0	1	6	86	0	3	97	2
GTEX-SE5C	629	9	4	725	6	655	0	2	0	11	691	0	0	0	69	707	0	34	706	1
GTEX-1399S	742	10	1	959	10	900	0	0	0	19	1176	0	0	0	120	867	0	74	885	24
GTEX-P4QT	684	6	6	798	4	805	0	1	2	15	987	0	0	2	51	696	0	58	650	8
GTEX-Q734	160	0	2	167	0	166	0	0	0	5	186	0	0	0	18	193	0	17	168	2
GTEX-1B932	340	4	0	431	2	354	0	0	0	2	431	0	0	1	33	416	0	21	375	1
GTEX-RM2N	890	2	0	795	4	818	0	0	6	29	970	0	0	3	64	881	0	48	835	5
GTEX-14DAQ	171	0	0	210	1	165	0	0	2	4	198	0	0	0	10	170	0	12	143	1
GTEX-1S82U	530	2	2	565	6	444	0	0	0	8	522	0	0	2	47	430	0	28	492	7
GTEX-WFG7	672	8	5	752	0	703	0	2	0	6	844	3	0	0	83	834	0	55	806	3
GTEX-ZEX8	778	3	1	938	2	847	0	0	0	10	1012	0	0	1	47	842	2	50	708	7
GTEX-WL46	89	0	0	111	0	90	0	1	3	0	103	0	0	0	6	88	0	9	98	0
GTEX-1GF9V	113	2	0	118	3	107	0	0	3	3	129	1	0	0	7	104	0	15	105	0
GTEX-1RAZQ	667	3	1	721	12	656	0	0	2	14	817	2	0	3	58	728	0	37	676	13
GTEX-WFG8	525	6	4	526	4	478	0	0	1	5	645	0	0	0	92	559	0	101	535	13
GTEX-12WSN	372	4	2	446	6	386	0	3	13	5	487	0	0	0	46	425	0	56	401	7
GTEX-13FHO	127	0	0	151	2	170	0	0	0	3	167	0	0	0	23	154	0	22	135	3
GTEX-1R7EV	617	11	1	725	8	717	0	4	16	16	749	1	2	2	92	716	0	111	768	11
GTEX-U3ZH	137	1	1	188	0	165	0	0	0	7	162	0	0	0	18	186	1	23	204	0
GTEX-1ICLY	193	0	0	213	3	184	0	1	0	3	237	0	0	1	28	218	0	36	220	4
GTEX-1JKYR	387	0	0	437	1	378	0	0	0	5	491	0	0	0	31	399	1	24	421	4
GTEX-17F98	707	11	0	887	7	752	0	0	0	15	882	0	0	2	103	766	0	91	757	10
GTEX-Y5V6	614	6	1	801	12	636	0	0	0	9	878	0	0	0	98	666	1	82	710	11
GTEX-111CU	738	4	4	919	2	827	0	0	2	13	1009	0	0	1	51	858	2	37	851	9
GTEX-PW2O	118	0	0	131	3	98	0	1	2	0	135	0	0	0	8	126	0	9	124	2
GTEX-XAJ8	907	4	2	1117	8	1125	0	0	0	8	1351	0	0	1	95	1102	2	70	1019	13
GTEX-ZF29	1410	29	5	1726	11	1440	0	0	0	20	1720	1	0	2	193	1456	0	136	1496	22
GTEX-17F97	233	1	0	267	3	254	0	2	3	6	271	0	0	5	42	225	0	35	256	3
GTEX-PSDG	583	14	2	767	8	656	0	6	9	14	828	0	0	1	97	708	3	127	765	8
GTEX-ZVE2	344	3	1	420	5	473	0	6	9	15	517	0	0	0	40	434	0	60	461	2
GTEX-Z9EW	486	1	1	622	3	513	0	2	1	13	654	0	0	0	63	496	0	63	549	5
GTEX-11GS4	74	1	0	73	0	84	0	0	0	0	91	0	0	0	16	59	0	4	69	2
GTEX-1QP67	441	0	0	512	3	468	0	3	3	5	557	0	0	7	82	502	3	61	590	0
GTEX-ZVT3	77	0	0	85	0	94	0	0	0	3	118	0	0	0	12	84	0	9	87	1
GTEX-S95S	259	6	0	252	5	247	0	2	4	3	309	0	0	0	49	286	0	37	321	4
GTEX-1QP28	1021	5	2	1161	3	1106	0	1	4	7	1309	0	0	1	117	1120	3	107	1154	12
GTEX-XV7Q	259	0	0	358	4	333	0	0	2	17	375	0	0	0	40	325	1	25	310	0
