individual	chr1:201415252:201417779:cluster67746	chr1:201415252:201421667:cluster67746	chr1:201415254:201416027:cluster67746	chr1:201415254:201417116:cluster67746	chr1:201415254:201417779:cluster67746	chr1:201415254:201417783:cluster67746	chr1:201415254:201421673:cluster67746	chr1:201417119:201417783:cluster67746	chr1:201417812:201421673:cluster67746	chr1:201417812:201427175:cluster67746	chr1:201421726:201421887:cluster67746	chr1:201421726:201422019:cluster67746	chr1:201421726:201427175:cluster67746	chr1:201421726:201428084:cluster67746	chr1:201421726:201428838:cluster67746	chr1:201421726:201429181:cluster67746	chr1:201422033:201427175:cluster67746	chr1:201427293:201428084:cluster67746	chr1:201427293:201428838:cluster67746	chr1:201427293:201429181:cluster67746
GTEX-WFON	1	0	2	9359	27	38	3	9332	6602	1	5	9	0	1	1	0	0	0	0	0
GTEX-13VXU	3	0	0	31424	139	22	9	31318	20527	5	20	67	26	1	14	1	2	7	8	15
GTEX-T6MN	0	0	0	8599	38	12	2	8427	6448	4	6	24	8	3	6	2	5	2	2	1
GTEX-15SHV	2	0	0	4609	25	11	1	4608	3185	0	3	18	1	1	0	0	0	1	0	0
GTEX-13PLJ	2	1	0	21988	49	45	6	21425	15180	3	6	49	22	3	1	3	3	4	4	1
GTEX-18465	9	1	0	30978	155	48	9	30734	20129	6	13	57	11	6	10	0	1	7	6	3
GTEX-14PJ2	1	0	0	3150	27	2	0	3109	2105	0	1	5	0	0	0	0	0	0	0	0
GTEX-1128S	0	0	0	10484	29	11	5	10470	6799	0	4	10	2	0	0	0	0	2	0	0
GTEX-1QP66	0	0	0	3725	17	0	4	3677	2470	0	3	3	0	0	0	0	0	2	0	1
GTEX-1JN1M	1	0	0	5915	18	7	0	5908	4102	2	9	13	0	0	2	0	0	2	1	0
GTEX-QVJO	0	0	0	1370	4	0	2	1354	982	1	0	0	0	0	0	0	0	0	0	0
GTEX-15SB6	0	0	0	8264	41	7	2	8187	5479	1	5	11	1	0	2	0	1	3	1	0
GTEX-QCQG	3	0	0	8236	11	27	6	8221	5667	0	5	23	1	2	0	2	0	0	0	0
GTEX-144GL	5	0	1	25056	64	23	6	24675	16724	3	28	66	31	3	14	6	4	6	10	6
GTEX-13RTJ	0	0	0	4395	16	14	0	4360	3132	0	2	4	1	0	1	0	0	2	0	0
GTEX-14PJ6	1	0	0	2606	21	0	1	2603	1732	0	4	5	0	0	0	0	0	0	0	0
GTEX-1MCQQ	2	1	0	13904	44	18	1	13683	9704	0	8	34	8	0	4	0	1	2	0	1
GTEX-1GF9U	2	1	0	17656	83	40	7	17466	11443	4	7	39	6	1	8	1	2	2	2	2
GTEX-1CB4E	0	0	0	7431	21	10	3	7370	5352	0	5	7	0	1	0	0	0	0	0	0
GTEX-OXRL	3	0	0	6707	13	8	5	6700	4757	0	1	16	1	0	0	1	0	1	0	0
GTEX-1B8KZ	0	0	0	8986	23	8	1	8921	6194	0	7	14	3	0	2	0	1	0	2	0
GTEX-139YR	0	0	0	3164	14	0	2	3141	2124	0	1	1	3	0	0	0	0	0	0	0
GTEX-1445S	1	0	0	9255	48	7	1	9246	5991	1	3	15	2	0	0	1	0	1	1	0
GTEX-U8XE	2	1	0	8572	21	38	5	8545	5918	0	6	20	0	3	2	0	0	1	0	0
GTEX-1BAJH	3	0	1	16094	104	28	5	15919	10749	5	9	32	26	6	11	3	4	12	10	3
GTEX-ZVZP	1	0	0	662	6	0	0	661	444	0	0	2	0	0	0	0	0	0	0	0
GTEX-11ONC	1	0	0	4741	11	3	2	4713	3404	1	3	4	1	0	0	0	0	1	0	0
GTEX-14LLW	0	1	0	6453	16	2	2	6445	4455	0	6	10	0	2	0	0	0	0	0	3
GTEX-13QIC	1	0	0	11611	56	11	1	11556	7933	1	3	24	2	2	0	0	0	0	0	0
GTEX-11ZTT	1	1	0	4859	19	8	2	4851	3357	0	7	9	0	0	0	0	0	0	0	0
GTEX-12WSL	0	1	0	5005	34	4	0	5000	3376	2	4	14	3	0	1	1	1	0	0	0
GTEX-12KS4	0	0	0	16944	110	37	6	16885	11517	0	12	41	6	1	0	0	6	2	6	0
GTEX-11I78	3	0	0	7883	25	6	2	7878	5182	0	3	10	1	0	0	0	0	3	0	0
GTEX-1GMR8	1	0	0	11645	60	9	2	11617	7773	0	5	18	2	0	0	1	1	0	1	0
GTEX-1GN1U	1	0	0	1422	14	1	0	1419	986	0	0	4	0	0	0	0	0	0	0	0
GTEX-X4EO	6	1	0	34884	161	31	6	34678	24156	7	25	95	50	12	27	10	3	20	23	9
GTEX-13111	4	1	1	9033	19	31	3	8980	5921	1	6	15	0	0	0	0	1	0	1	0
GTEX-139TS	2	0	0	25440	123	33	3	25336	17108	1	11	38	7	2	3	0	1	2	2	0
GTEX-14PK6	2	0	0	8718	65	11	3	8709	5850	1	7	21	3	0	0	0	0	2	0	0
GTEX-1CAMQ	2	0	0	6739	56	6	1	6670	4439	0	5	20	6	0	1	0	0	0	0	0
GTEX-XMD2	0	0	0	3362	13	4	3	3339	2288	0	2	2	0	0	0	0	0	0	1	0
GTEX-144FL	0	0	0	1961	6	2	0	1896	1246	0	1	2	2	0	0	0	0	0	0	0
GTEX-1B8L1	3	0	0	16779	40	9	3	16634	12054	5	10	39	20	3	15	6	1	4	5	1
GTEX-ZYFD	1	0	0	12089	39	16	2	12073	8194	9	11	19	9	3	8	2	2	4	2	6
GTEX-14JG1	2	0	0	27235	89	32	7	26887	18091	9	9	65	36	6	24	2	5	14	12	11
GTEX-1PIIG	3	0	0	35524	97	45	11	35301	24862	8	29	96	36	6	29	9	8	6	23	6
GTEX-ZVE1	2	1	0	2571	4	5	0	2556	1683	0	1	2	1	0	0	0	0	1	0	0
GTEX-17JCI	0	0	0	27965	144	30	10	27858	18860	4	16	48	19	4	9	5	1	2	2	5
GTEX-1JJ6O	0	0	0	668	1	0	0	668	437	0	0	1	0	0	0	0	0	0	0	0
GTEX-13OVK	1	0	0	816	5	3	0	799	566	0	1	3	0	0	0	0	0	0	0	0
GTEX-WRHU	3	0	0	26952	153	27	10	26771	18535	12	9	47	40	0	13	7	2	5	17	4
GTEX-Y8LW	0	0	0	15274	35	17	6	15241	10261	0	9	30	3	2	2	0	0	1	4	1
GTEX-13OVG	1	0	0	5324	25	21	2	5282	3562	1	4	6	5	2	2	0	0	3	0	0
GTEX-YECK	14	0	0	24435	100	43	15	24160	16260	9	20	52	22	0	15	11	6	6	22	4
GTEX-WHSE	0	0	0	10921	42	21	0	10900	7435	1	3	25	7	1	3	3	0	5	5	4
GTEX-1F88F	7	1	0	42717	253	49	9	42268	28763	4	17	52	10	3	4	2	0	2	4	5
GTEX-1LG7Y	0	2	0	16650	49	26	7	16566	11928	0	8	33	13	1	5	0	0	5	6	0
GTEX-12WSA	0	0	0	54	0	0	0	50	33	0	0	0	0	0	0	0	0	0	0	0
GTEX-OIZF	0	0	0	2882	9	7	0	2878	2077	0	0	6	0	3	0	0	0	1	0	0
GTEX-14XAO	0	0	0	1916	8	2	0	1914	1257	0	3	5	0	0	0	0	0	0	0	2
GTEX-ZZPU	0	0	0	2011	16	1	0	2008	1325	0	2	5	0	0	1	0	0	0	0	0
GTEX-14E6E	1	3	0	10365	27	28	4	10357	7009	2	6	17	2	3	0	1	0	3	0	0
GTEX-13D11	0	1	0	5024	13	9	5	5014	3274	0	2	18	1	1	0	0	0	1	1	2
GTEX-15DZA	2	0	3	11860	74	38	2	11822	7865	0	8	12	6	0	1	0	1	1	2	1
GTEX-14C39	1	0	0	6754	16	16	4	6740	4442	0	4	7	0	0	0	0	0	0	0	0
GTEX-147GR	0	0	0	12422	38	10	3	12286	8552	2	1	8	4	0	5	0	0	2	2	1
GTEX-11P81	0	0	0	5097	15	19	1	5061	3632	0	3	5	0	0	0	0	0	2	0	0
GTEX-13CF3	2	1	0	10614	58	5	2	10594	7061	0	3	21	0	1	0	0	1	0	0	0
GTEX-1F48J	0	0	0	7545	29	3	1	7489	4892	0	6	7	3	1	1	0	0	2	0	0
GTEX-12WSF	4	0	0	10884	66	16	0	10849	7469	0	6	12	1	0	0	0	0	0	0	0
GTEX-1CB4I	0	0	0	3848	18	5	0	3834	2628	0	0	3	1	0	0	0	0	0	0	0
GTEX-1R9JW	0	0	0	775	0	0	0	773	532	0	0	0	0	0	0	0	0	1	0	0
GTEX-15DCD	1	0	0	5912	26	5	4	5855	3761	0	2	15	3	0	1	1	0	2	0	2
GTEX-16NPV	0	0	0	1712	10	0	0	1678	1132	0	3	1	0	0	0	0	0	0	0	0
GTEX-QESD	0	0	0	6603	28	10	6	6567	4355	1	6	9	5	2	3	4	0	2	6	1
GTEX-WWTW	0	0	0	119	0	0	0	119	73	0	0	1	0	0	0	0	0	0	0	0
GTEX-13X6K	0	0	0	2975	5	0	1	2943	2011	0	2	5	3	1	0	0	0	3	0	0
GTEX-1A8G7	2	0	0	14219	48	17	6	14193	9476	4	15	39	15	0	5	1	0	1	7	3
GTEX-1B932	0	0	0	7369	30	12	4	7318	4991	2	2	15	3	0	0	0	0	0	0	0
GTEX-1EX96	4	1	0	22806	40	20	9	22688	15228	5	14	51	31	0	12	5	3	1	4	1
GTEX-14DAQ	4	0	0	26480	83	15	4	26230	17854	5	11	48	8	1	8	1	0	3	7	0
GTEX-1S82U	0	0	0	6584	18	11	4	6572	4549	2	3	14	2	1	0	0	0	6	0	0
GTEX-ZEX8	0	0	0	824	2	3	0	819	561	0	1	2	0	0	0	0	0	0	0	0
GTEX-WL46	0	0	4	30029	91	20	7	29610	20784	8	17	59	38	0	19	1	1	14	16	9
GTEX-1GF9V	2	0	0	13224	39	12	5	13168	8788	7	7	34	10	0	5	1	0	1	8	6
GTEX-12WSN	3	0	0	6246	11	16	1	6235	4150	0	1	20	1	0	4	0	0	0	0	0
GTEX-PX3G	0	0	0	451	3	0	0	445	296	0	1	2	0	0	0	0	0	0	0	0
GTEX-1R7EV	0	0	0	12256	23	22	4	12217	8648	0	9	20	2	0	3	0	0	0	3	2
GTEX-146FH	2	0	0	10270	24	20	2	10216	6774	4	4	17	2	4	3	0	0	2	3	1
GTEX-U3ZH	0	0	0	58	0	0	0	52	39	0	0	0	0	0	0	0	0	0	0	0
GTEX-YFC4	2	0	0	28217	58	18	7	28147	18535	4	15	44	20	0	11	0	3	2	4	6
GTEX-1477Z	0	0	0	3164	11	6	1	3121	2122	0	2	3	2	0	1	0	0	0	1	0
GTEX-14BIM	3	0	0	8860	22	10	2	8827	6270	0	5	16	1	0	0	0	0	0	0	0
GTEX-17F98	0	0	0	371	1	1	0	368	248	0	0	2	0	0	0	0	0	0	0	0
GTEX-Y5V6	1	0	0	4031	17	12	1	4026	2718	0	3	10	2	2	1	0	0	0	0	0
GTEX-1GTWX	4	0	0	21430	72	20	5	21196	14396	2	10	35	12	1	9	1	0	3	1	0
GTEX-ZF29	0	0	0	7875	18	22	3	7851	5392	0	3	24	0	0	3	0	0	2	0	0
GTEX-15UKP	2	0	0	9675	28	15	5	9645	6260	0	6	25	3	0	0	2	0	5	2	1
GTEX-1CB4J	0	0	0	4489	32	2	3	4480	3012	0	1	7	1	0	0	0	0	0	0	0
GTEX-17F97	0	2	0	20795	95	17	3	20732	14529	9	18	23	18	0	3	1	7	2	5	2
GTEX-13NZB	1	0	0	9887	61	16	3	9812	6597	0	4	9	4	4	0	0	0	1	2	0
GTEX-PSDG	0	0	0	2303	11	3	1	2301	1498	0	2	9	0	0	0	0	0	0	0	1
GTEX-ZVE2	0	0	0	1595	6	0	2	1590	1115	0	1	2	1	0	0	0	0	0	0	0
GTEX-13PVQ	1	0	0	18932	106	31	6	18896	12468	4	14	41	20	5	8	8	1	6	2	5
GTEX-11GS4	5	1	0	22124	100	61	7	21933	14861	4	8	30	23	0	11	4	2	5	9	2
GTEX-1QP67	3	0	0	5859	10	11	5	5781	4273	3	3	24	1	0	0	0	0	4	1	0
GTEX-ZVT3	1	0	0	15955	62	8	7	15841	10683	4	12	31	17	6	9	6	0	8	3	0
GTEX-OXRN	3	0	0	5884	22	9	5	5864	4121	4	6	4	2	0	0	0	0	0	2	3
GTEX-1QP28	0	0	0	6134	18	10	5	6129	4408	0	0	21	1	0	0	0	0	0	1	1
GTEX-XV7Q	0	0	0	869	1	0	0	865	558	0	0	0	0	0	0	0	0	0	0	0
GTEX-13OW7	0	3	0	19870	116	31	6	19602	13316	1	9	53	22	1	19	2	1	3	11	2
